label,source,name,text
Literal,Phil-IRI G4 GST,Phil-IRI G4 GST — The Best Part of the Day,"Mia was in her bedroom when she heard a rooster crow. Then she heard a man yell, 'Hot pandesal! Buy your hot pandesal!' Mia wanted to sleep some more. But she knew she might be late for school if she did. Finally, she began to smell fried eggs and fish. 'It's time to get up,' she said. Mia jumped out of bed and ran down the steps."
Literal,Phil-IRI G4 GST,Phil-IRI G4 GST — The Philippine Eagle,"The Philippine Eagle has replaced the maya as our national bird. It is one of the three largest and strongest eagles in the world. But it is in danger of extinction. Hunting and deforestation have caused the number of Philippine Eagles to dwindle. Scientists have tried to increase their number by breeding them in captivity. The first eagle to be bred in captivity is Pag-asa. At 25 years old, Pag-asa is not yet suited to be released to the wild as she has developed dependency on her human keeper."
Literal,Phil-IRI G4 GST,Phil-IRI G4 GST — Home to Millions of Fish,"Coral reefs are found in shallow areas of tropical ocean waters. They are like beautiful underwater gardens that grow in salty waters. Millions of fish and sea plants make their home in the reefs as these provide a safe sanctuary for them. They allow small fish to hide from large predator fish. But many coral reefs are in trouble. Water pollution is destroying many reefs. Tourism likewise harms them. If reefs are damaged, we will lose many of our most beautiful fish."
Literal,Phil-IRI G5 GST,Phil-IRI G5 GST — Early Start,"Mara woke up very early. She looked at the clock. It said six o'clock. She thought it was a school day, so she got up quickly. She washed her face and brushed her teeth. She put on her school uniform. She went to the kitchen. Her mother looked surprised. 'Why are you dressed so early?' her mother asked. 'It is Saturday,' she said. Mara looked down at her uniform and laughed. She went back to her room and changed into her play clothes."
Literal,Phil-IRI G5 GST,Phil-IRI G5 GST — The Volcano,"A volcano is an opening in the earth's surface through which hot liquid rock, ash, and gases escape from below. When a volcano erupts, it can be very dangerous. Lava flows down the sides of the volcano and burns everything in its path. Ash falls like rain and covers the land. People who live near a volcano must be ready to leave quickly when it erupts. Scientists study volcanoes to find ways to warn people before an eruption happens. In the Philippines, Mayon Volcano is known for its almost perfect cone shape."
Literal,Phil-IRI G6 GST,Phil-IRI G6 GST — Water,"Water is one of the most important things on earth. All living things need water to survive. People use water for drinking, cooking, and cleaning. Farmers use water to grow crops. Water also helps run machines in factories. The earth has a lot of water, but most of it is salt water found in the oceans. Only a small part is fresh water that people can drink. Rivers, lakes, and underground wells are sources of fresh water. Because clean water is limited, we must be careful not to waste it and not to pollute our water sources."
Literal,Phil-IRI G6 GST,Phil-IRI G6 GST — Typhoons,"A typhoon is a strong storm that forms over warm ocean water. It brings heavy rains and very strong winds. Typhoons can cause floods, landslides, and damage to homes and crops. The Philippines is visited by many typhoons each year because it lies in a typhoon belt. When a typhoon comes, people are warned through weather reports on the radio and television. It is important to stay indoors and keep away from flooded areas. After a typhoon, communities come together to help those who were hurt and to clean up the damage."
Literal,Phil-IRI G6 GST,Phil-IRI G6 GST — Taking Care of Our Eyes,"Our eyes are very important. We use them to see the world around us. Taking care of our eyes helps us see clearly for a long time. We should read in a well-lit place so our eyes do not get tired. We should sit at a safe distance from the television and computer screen. Eating vegetables like carrots and green leafy foods helps keep our eyes healthy. If your eyes feel tired or you have trouble seeing, you should visit a doctor. Wearing sunglasses outside protects our eyes from too much sunlight."
Literal,Quezon G7 Intervention,Quezon G7 Intervention — The Legend of Tiaong,"Once there lived an old and rich woman who lived in a small town in the province of Quezon. She helped people in many ways, because of her kindness, the people in the community learned to love and respect her. Everybody called her ""Tia"" as a sign of respect. Aside from being kind, she was also religious. When she went to the church to attend the mass, she always rode on her favorite cow. The people got used to seeing her and whenever they heard the sounds made by the cow, they knew that Tia was passing by. Years passed and the people agreed to name their town after her and her cow and so they called their town, ""Tia-ong."""
Literal,Quezon G7 Intervention,Quezon G7 Intervention — The Mermaid in Atimonan,"The story about mermaids, a half-human, and a half-fish creature might seem unrealistic but some believed they exist. In Atimonan, Quezon, they said a mermaid had saved a young fisherman from drowning and was given a magical comb which gave him the power to call the mermaid simply by dipping it into the sea. But a tragic incident happened; the Moro pirates attacked the town; survivors scattered inland towards the safety of the mountains. Nothing was heard of the young fisherman. Years later, locals would claim to see a beautiful maiden sitting on top of the huge boulder by the sea looking at the mountains of Atimonan. However, when they approached her, she jumped into the sea and vanished. Presently, a statue was built on top of the boulder where this maiden was frequently seen."
